Red,Green,Blue,G_std,ExG,Label
186.9684,193.0618,205.3205,38.35527578782349,-6.165300000000002,Healthy
162.6779,165.4006,158.1214,60.38385313674512,10.001900000000006,Healthy
213.6302,215.4387,217.2922,45.95452580878191,-0.044999999999987494,Healthy
190.2939,193.6602,188.184,53.646725305091984,8.842500000000001,Healthy
228.89030000000002,228.5551,217.9855,42.5955110779293,10.234399999999994,Healthy
198.5523,198.74,189.3741,50.35054319468657,9.553600000000017,Healthy
189.4319,192.2595,195.9967,38.54129680939648,-0.9096000000000117,Healthy
199.10930000000002,200.92340000000002,204.42510000000001,30.0082410754112,-1.6876000000000033,Healthy
214.38400000000001,215.2007,226.83110000000002,42.899200686143296,-10.813700000000011,Healthy
209.5875,210.58610000000002,216.05010000000001,38.59031726728864,-4.465399999999988,Healthy
194.4987,204.5138,211.92360000000002,45.80919787073334,2.6052999999999713,Healthy
205.3099,208.4084,208.6536,34.73387409201567,2.85329999999999,Healthy
183.68390000000002,184.6583,180.7867,51.75519047506246,4.845999999999975,Healthy
205.7773,206.8342,207.5321,37.713635602524484,0.35900000000000887,Healthy
211.264,211.8476,205.1269,45.741921409577856,7.304299999999984,Healthy
214.4069,212.0882,198.9135,40.00222519760622,10.855999999999995,Healthy
203.0047,204.80120000000002,197.8038,43.64509684443361,8.793900000000036,Healthy
214.0054,214.56640000000002,196.5996,51.186896673269764,18.527800000000013,Healthy
205.1147,205.49540000000002,205.55270000000002,42.172474184472435,0.3234000000000208,Healthy
198.8369,199.7228,198.6022,42.962033938816184,2.0064999999999884,Healthy
210.47160000000002,212.02290000000002,208.75570000000002,51.310708196145434,4.8185,Healthy
198.0345,199.6827,201.6885,36.22635257254033,-0.3575999999999908,Healthy
201.90210000000002,205.3775,204.7192,40.64998639298668,4.133699999999976,Healthy
195.9059,198.6112,195.33700000000002,41.610410170533044,5.979499999999973,Healthy
168.79500000000002,193.90200000000002,226.37910000000002,31.459335593746914,-7.370100000000008,Healthy
200.9333,204.0645,204.1848,42.314084413466794,3.010900000000021,Healthy
197.8657,200.3359,198.2893,43.08661127531379,4.516800000000018,Healthy
201.33610000000002,202.19070000000002,204.9189,31.139006623686466,-1.873599999999982,Healthy
198.2204,199.7748,194.14870000000002,34.28263532694071,7.180499999999967,Healthy
187.4181,190.1995,183.17010000000002,40.56631484064093,9.810799999999972,Healthy
204.1086,202.71560000000002,204.1407,50.51467031110854,-2.8180999999999585,Healthy
196.8574,201.53310000000002,206.65380000000002,45.1833454315857,-0.4449999999999932,Healthy
217.097,218.627,218.5637,39.30407193917689,1.5932999999999993,Healthy
195.83180000000002,197.85060000000001,182.179,53.755608820289595,17.69040000000001,Healthy
187.2273,185.9546,160.31300000000002,43.21694967070215,24.368899999999968,Healthy
204.6739,202.47490000000002,189.7281,39.53489812798294,10.547800000000024,Healthy
192.2203,195.74370000000002,187.3692,54.85876420691586,11.897900000000021,Healthy
213.7365,215.3878,216.52030000000002,36.84772464020003,0.5187999999999704,Healthy
200.88160000000002,202.4307,203.52810000000002,35.49910981292352,0.4516999999999598,Healthy
199.55450000000002,199.29860000000002,191.88160000000002,52.17692246616308,7.161100000000005,Healthy
197.0669,197.1071,201.9345,34.95576389653069,-4.787200000000013,Healthy
190.7277,192.2439,189.7915,51.03352636052114,3.968599999999981,Healthy
195.3605,196.7654,184.919,49.0752989072915,13.251299999999986,Healthy
209.35670000000002,210.72910000000002,213.8518,35.393701603392536,-1.7502999999999815,Healthy
181.7871,184.4686,173.3682,62.693162418560455,13.781900000000007,Healthy
195.1878,196.3169,198.5652,35.88567227167413,-1.1192000000000064,Healthy
204.2803,206.0875,199.5171,51.05740733478346,8.377600000000001,Healthy
203.5027,208.9309,210.38060000000002,41.25583746804814,3.978499999999997,Healthy
196.47480000000002,197.0388,202.03490000000002,31.52006812429185,-4.43210000000002,Healthy
202.0175,208.88510000000002,203.2092,56.818668569317865,12.543500000000023,Healthy
